n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,tech_mix_str
2,Kepulauan Tanimbar,Tanimbar Utara,42,0.6609,solar_battery,0,2,retrofit,0.295,2999,941,248.4,1243.8,2551250,4498130,3524690,public_good,solar_biomass_hybrid:1; solar_battery:1
3,Kepulauan Tanimbar,Wermaktian,43,0.7253,wind_solar_hybrid,2,1,new_build,0.152,3747,988,260.8,1142.4,2856000,5734560,4295280,blended_finance,wind_solar_hybrid:2; solar_biomass_hybrid:1
6,Kepulauan Tanimbar,Wertamrian,44,0.7867,solar_biomass_hybrid,1,5,retrofit,0.22,8481,2389,630.7,2196.1,5812983,10916566,8364776,blended_finance,solar_biomass_hybrid:5; micro_hydro:1
6,Kepulauan Tanimbar,Wuar Labobar,45,0.7895,solar_biomass_hybrid,2,4,retrofit,0.152,6240,1608,424.5,1744.1,4377020,8215776,6296399,blended_finance,solar_biomass_hybrid:5; wind_solar_hybrid:1
1,Kota Ambon,Nusaniwe,46,1.0,wind_solar_hybrid,0,1,retrofit,0.818,3667,1233,325.5,1479.6,3699000,7693920,5696460,public_good,wind_solar_hybrid:1
2,Kota Tual,Kur Selatan,47,0.9059,solar_biomass_hybrid,2,0,new_build,0.136,1138,281,74.2,296.8,757136,1377988,1067562,public_good,solar_biomass_hybrid:2
5,Kota Tual,Kur Selatan,48,0.8929,solar_biomass_hybrid,0,5,retrofit,0.318,3001,778,205.4,821.6,2148794,3910806,3029800,blended_finance,solar_biomass_hybrid:5
3,Kota Tual,Pulau-Pulau Kur,49,0.7552,solar_biomass_hybrid,0,3,retrofit,0.409,1971,566,149.4,683.9,1552337,2772968,2162653,blended_finance,solar_biomass_hybrid:2; solar_battery:1
5,Kota Tual,Tayando Tam,50,0.7862,solar_biomass_hybrid,1,4,retrofit,0.218,8779,2389,630.7,2522.8,6307000,11478740,8892870,blended_finance,solar_biomass_hybrid:5
3,Maluku Barat Daya,Babar Barat,51,0.9386,solar_biomass_hybrid,0,3,retrofit,0.197,1158,301,79.5,317.9,1055518,1921042,1488280,blended_finance,solar_biomass_hybrid:3
3,Maluku Barat Daya,Babar Barat,52,0.7976,wind_solar_hybrid,0,3,retrofit,0.288,2910,823,217.3,987.6,2577048,5360259,3968653,blended_finance,wind_solar_hybrid:3
4,Maluku Barat Daya,Damer,53,0.8681,solar_biomass_hybrid,0,4,retrofit,0.227,3481,969,255.8,1023.3,2846108,5179916,4013011,blended_finance,solar_biomass_hybrid:4
6,Maluku Barat Daya,Dawelor Dawera,54,0.8203,solar_battery,0,6,retrofit,0.273,1673,508,134.1,690.1,1478240,2595442,2036841,blended_finance,solar_battery:4; solar_biomass_hybrid:2
3,Maluku Barat Daya,Kepulauan Roma,55,0.7898,solar_biomass_hybrid,0,3,retrofit,0.333,5101,1390,367.0,1467.9,4058189,7385904,5722046,blended_finance,solar_biomass_hybrid:3
2,Maluku Barat Daya,Mdona Hyera,56,0.8144,solar_battery,0,2,retrofit,0.409,2379,689,181.9,1010.5,1962380,3401460,2681920,public_good,solar_battery:2
3,Maluku Barat Daya,Mdona Hyera,57,0.9404,solar_biomass_hybrid,0,3,retrofit,0.515,1431,413,109.0,436.1,1168200,2126122,1647162,blended_finance,solar_biomass_hybrid:3
4,Maluku Barat Daya,Mdona Hyera,58,0.8953,solar_biomass_hybrid,0,4,retrofit,0.273,1787,519,137.0,548.0,1442796,2625889,2034342,blended_finance,solar_biomass_hybrid:4
2,Maluku Barat Daya,Moa,59,0.8898,wind_solar_hybrid,0,2,retrofit,0.386,1654,459,121.2,550.8,1377000,2864160,2120580,public_good,wind_solar_hybrid:2
2,Maluku Barat Daya,Moa,60,0.8549,wind_solar_hybrid,0,2,retrofit,0.432,6693,1775,468.6,2130.0,5325000,11076000,8200500,public_good,wind_solar_hybrid:2
5,Maluku Barat Daya,Pulau Lakor,61,0.8174,solar_battery,0,5,retrofit,0.273,3230,898,237.1,1225.6,2555250,4785820,3670536,blended_finance,solar_battery:4; wind_solar_hybrid:1
11,Maluku Barat Daya,Pulau Masela,62,0.8475,solar_biomass_hybrid,0,11,retrofit,0.393,3184,994,262.4,1106.3,2647877,4786246,3717061,blended_finance,solar_biomass_hybrid:10; solar_battery:1
6,Maluku Barat Daya,Pulau Wetang,63,0.8003,solar_battery,0,6,retrofit,0.258,1871,549,144.9,788.1,1568506,2790136,2179321,blended_finance,solar_battery:5; wind_solar_hybrid:1
8,Maluku Barat Daya,Pulau-Pulau Babar Timur,64,0.909,wind_solar_hybrid,0,8,retrofit,0.335,4718,1350,356.4,1620.0,4195521,8726683,6461101,blended_finance,wind_solar_hybrid:8
1,Maluku Barat Daya,Wetar Barat,65,1.0,wind_solar_hybrid,0,1,retrofit,0.273,584,142,37.5,170.4,519661,1080894,800278,public_good,wind_solar_hybrid:1
2,Maluku Barat Daya,Wetar Selatan,66,0.9476,solar_biomass_hybrid,0,2,retrofit,0.364,1100,296,78.1,312.6,978550,1780962,1379756,public_good,solar_biomass_hybrid:2
4,Maluku Barat Daya,Wetar Timur,67,0.9098,solar_biomass_hybrid,0,4,retrofit,0.239,1662,442,116.7,466.7,1351838,2460344,1906092,blended_finance,solar_biomass_hybrid:4
1,Maluku Tengah,Amahai,68,1.0,solar_battery,0,1,retrofit,0.773,2058,590,155.8,865.3,1622438,2812225,2217332,public_good,solar_battery:1
1,Maluku Tengah,Amahai,69,1.0,solar_biomass_hybrid,0,1,retrofit,0.182,593,151,39.9,159.5,489167,890283,689725,public_good,solar_biomass_hybrid:1
3,Maluku Tengah,Banda,70,0.7533,solar_biomass_hybrid,0,3,retrofit,0.333,2920,883,233.1,932.5,2428107,4419155,3423631,blended_finance,solar_biomass_hybrid:3
1,Maluku Tengah,Banda,71,1.0,solar_biomass_hybrid,0,1,retrofit,0.682,1726,537,141.8,567.1,1530640,2785764,2158202,public_good,solar_biomass_hybrid:1
2,Maluku Tengah,Leihitu,72,0.8864,wind_solar_hybrid,0,2,retrofit,0.545,11273,3064,808.9,3676.8,11270894,23443460,17357176,public_good,wind_solar_hybrid:2
2,Maluku Tengah,Leihitu Barat,73,0.7937,wind_solar_hybrid,0,2,retrofit,0.273,9000,2468,651.6,2961.6,8674235,18042409,13358322,public_good,wind_solar_hybrid:2
5,Maluku Tengah,Nusa Laut,74,0.884,solar_biomass_hybrid,0,5,retrofit,0.318,2606,917,242.1,968.4,2628899,4784597,3706748,blended_finance,solar_biomass_hybrid:5
1,Maluku Tengah,Nusa Laut,75,1.0,solar_biomass_hybrid,0,1,retrofit,0.545,1984,641,169.2,676.9,1834634,3339033,2586834,public_good,solar_biomass_hybrid:1
4,Maluku Tengah,Pulau Haruku,76,0.7854,solar_biomass_hybrid,0,4,retrofit,0.352,5549,1802,475.7,1903.0,4972607,9050144,7011376,blended_finance,solar_biomass_hybrid:4
1,Maluku Tengah,Saparua,77,1.0,solar_biomass_hybrid,0,1,retrofit,0.318,1196,372,98.2,392.8,985870,1794284,1390077,public_good,solar_biomass_hybrid:1
4,Maluku Tengah,Seram Utara,78,0.6711,solar_biomass_hybrid,0,4,retrofit,0.557,3637,1014,267.7,1152.0,2706024,4877773,3791900,blended_finance,solar_biomass_hybrid:3; solar_battery:1
1,Maluku Tengah,Seram Utara,79,1.0,micro_hydro,1,0,new_build,0.091,598,151,39.9,88.6,282360,587310,434835,public_good,micro_hydro:1
1,Maluku Tengah,Seram Utara,80,1.0,micro_hydro,0,1,retrofit,0.364,4101,1066,281.4,625.4,2003374,4167018,3085196,public_good,micro_hydro:1
7,Maluku Tengah,Seram Utara Barat,81,0.7817,micro_hydro,3,4,retrofit,0.162,8482,2367,624.9,1388.5,4631078,9632642,7131860,blended_finance,micro_hydro:7
4,Maluku Tengah,Seram Utara Barat,82,0.7584,solar_biomass_hybrid,0,4,retrofit,0.295,2331,679,179.3,717.1,1796182,3269051,2532617,blended_finance,solar_biomass_hybrid:4
1,Maluku Tengah,Seram Utara Timur Kobi,83,1.0,solar_biomass_hybrid,0,1,retrofit,0.636,728,241,63.6,254.5,636250,1157975,897112,public_good,solar_biomass_hybrid:1
1,Maluku Tengah,Seram Utara Timur Seti,84,1.0,solar_biomass_hybrid,0,1,retrofit,0.636,594,185,48.8,195.4,488500,889070,688785,public_good,solar_biomass_hybrid:1
1,Maluku Tengah,Tehoru,85,1.0,micro_hydro,0,1,retrofit,0.227,515,152,40.1,89.2,321935,669624,495780,public_good,micro_hydro:1
3,Maluku Tengah,Teluk Elpaputih,86,0.8315,micro_hydro,0,3,retrofit,0.227,8475,2386,629.9,1399.7,4848736,10085371,7467054,blended_finance,micro_hydro:3
1,Maluku Tengah,Telutih,87,1.0,micro_hydro,0,1,retrofit,0.273,958,233,61.5,136.7,449502,934964,692233,public_good,micro_hydro:1
1,Maluku Tenggara,Kei Besar,88,1.0,solar_biomass_hybrid,0,1,retrofit,0.409,205,49,12.9,51.7,136373,248199,192286,public_good,solar_biomass_hybrid:1
6,Maluku Tenggara,Kei Besar Selatan,89,0.9149,solar_biomass_hybrid,0,6,retrofit,0.22,3664,975,257.4,1029.6,2829069,5148906,3988987,blended_finance,solar_biomass_hybrid:6
7,Maluku Tenggara,Kei Besar Selatan Barat,90,0.8245,solar_biomass_hybrid,0,7,retrofit,0.344,2671,699,184.5,738.2,2107762,3836128,2971945,blended_finance,solar_biomass_hybrid:7
1,Maluku Tenggara,Kei Kecil,91,1.0,solar_biomass_hybrid,0,1,retrofit,0.364,702,176,46.5,185.9,464750,845845,655298,public_good,solar_biomass_hybrid:1
10,Maluku Tenggara,Kei Kecil Timur,92,0.875,wind_solar_hybrid,0,10,retrofit,0.441,6044,1727,455.9,2072.4,5181000,10776480,7978740,blended_finance,wind_solar_hybrid:10
2,Maluku Tenggara,Kei Kecil Timur,93,0.7868,solar_battery,0,2,retrofit,0.636,800,224,59.1,272.7,603036,1076548,839792,public_good,solar_biomass_hybrid:1; solar_battery:1
4,Maluku Tenggara,Kei Kecil Timur,94,0.8351,solar_biomass_hybrid,0,4,retrofit,0.375,2559,713,188.2,752.8,1882000,3425240,2653620,blended_finance,solar_biomass_hybrid:4
