kode_desa,month,radiance
81.01.01.2005,2025-03,0.48797582468550527
81.01.01.2005,2025-04,0.592640622768477
81.01.01.2005,2025-05,0.36406723112145295
81.01.01.2005,2025-06,0.5227363978002263
81.01.01.2005,2025-07,0.42636630988234886
81.01.01.2005,2025-08,0.28927347771388234
81.01.01.2005,2025-09,0.5195324664866275
81.01.01.2005,2025-10,0.4809930657375317
81.01.01.2005,2025-11,0.526671163091549
81.01.01.2005,2025-12,0.6057986882486232
81.01.01.2005,2026-01,0.47901205795325597
81.01.01.2005,2026-02,0.0
81.01.01.2005,2026-03,0.0
81.01.01.2005,2026-04,0.8333415152954734
81.01.01.2005,2026-05,
81.01.01.2005,2026-06,
81.01.01.2006,2024-07,0.5857219073212324
81.01.01.2006,2024-08,1.2026250922939623
81.01.01.2006,2024-09,1.1652142080164458
81.01.01.2006,2024-10,1.0268085870877666
81.01.01.2006,2024-11,1.101506431063517
81.01.01.2006,2024-12,1.0547291694209102
81.01.01.2006,2025-01,0.014552601560919505
81.01.01.2006,2025-02,0.0
81.01.01.2006,2025-03,0.8914950866334341
81.01.01.2006,2025-04,1.1558831363004995
81.01.01.2006,2025-05,0.7086867895579225
81.01.01.2006,2025-06,0.8289986050895789
81.01.01.2006,2025-07,1.0082343927158237
81.01.01.2006,2025-08,0.7487820704637055
81.01.01.2006,2025-09,1.0499520231686392
81.01.01.2006,2025-10,1.2133140147876047
81.01.01.2006,2025-11,1.1337177735111192
81.01.01.2006,2025-12,1.8784982539757815
81.01.01.2006,2026-01,1.3698221025479023
81.01.01.2006,2026-02,0.0
81.01.01.2006,2026-03,0.0
81.01.01.2006,2026-04,1.7618682200303921
81.01.01.2006,2026-05,
81.01.01.2006,2026-06,
81.01.01.2007,2024-07,0.8195297632834023
81.01.01.2007,2024-08,1.2551156509361079
81.01.01.2007,2024-09,0.9355669289454394
81.01.01.2007,2024-10,0.8798748675647629
81.01.01.2007,2024-11,0.8567993814040188
81.01.01.2007,2024-12,0.7109973350053127
81.01.01.2007,2025-01,0.3203792208561989
81.01.01.2007,2025-02,0.0
81.01.01.2007,2025-03,0.005938566585449635
81.01.01.2007,2025-04,1.028748568278802
81.01.01.2007,2025-05,0.6780887464478832
81.01.01.2007,2025-06,0.9564884271321533
81.01.01.2007,2025-07,0.7675767883709266
81.01.01.2007,2025-08,0.8226886620610149
81.01.01.2007,2025-09,0.7643003406106951
81.01.01.2007,2025-10,0.8996473145069025
81.01.01.2007,2025-11,0.8710466510177246
81.01.01.2007,2025-12,1.9929200155822262
81.01.01.2007,2026-01,0.9742055295157439
81.01.01.2007,2026-02,0.0
81.01.01.2007,2026-03,0.0
81.01.01.2007,2026-04,1.370955647688089
81.01.01.2007,2026-05,
81.01.01.2007,2026-06,
81.01.01.2008,2024-07,0.4791344908240919
81.01.01.2008,2024-08,0.608122358551702
81.01.01.2008,2024-09,0.5613655979089446
81.01.01.2008,2024-10,0.4759601942782541
81.01.01.2008,2024-11,0.5466128882889876
81.01.01.2008,2024-12,0.42973524575364996
81.01.01.2008,2025-01,0.34216124621326244
81.01.01.2008,2025-02,0.0
81.01.01.2008,2025-03,0.12506573017064004
81.01.01.2008,2025-04,0.5418661527443859
81.01.01.2008,2025-05,0.3254058625837428
81.01.01.2008,2025-06,0.15662391740903406
81.01.01.2008,2025-07,0.3853755300119038
81.01.01.2008,2025-08,0.31686339252706286
81.01.01.2008,2025-09,0.43134445633508406
81.01.01.2008,2025-10,0.4607933437193845
81.01.01.2008,2025-11,0.3918555763730406
81.01.01.2008,2025-12,0.5623473969964015
81.01.01.2008,2026-01,0.4573271734779384
81.01.01.2008,2026-02,0.0
81.01.01.2008,2026-03,0.0
81.01.01.2008,2026-04,0.7532446190870996
81.01.01.2008,2026-05,
81.01.01.2008,2026-06,
81.01.01.2010,2024-07,0.5453521164370255
81.01.01.2010,2024-08,0.689436611155389
81.01.01.2010,2024-09,0.6789436810453173
81.01.01.2010,2024-10,0.627323931791413
81.01.01.2010,2024-11,0.97000000006716
81.01.01.2010,2024-12,0.46866196708779934
81.01.01.2010,2025-01,0.5480985952095246
81.01.01.2010,2025-02,0.0
81.01.01.2010,2025-03,1.0366197425714683
81.01.01.2010,2025-04,0.9633802729593197
81.01.01.2010,2025-05,0.9425352052064009
81.01.01.2010,2025-06,0.7430281681074223
81.01.01.2010,2025-07,0.5361267706038246
81.01.01.2010,2025-08,0.6181690017102469
81.01.01.2010,2025-09,0.8219718383231632
81.01.01.2010,2025-10,0.7644366114072396
81.01.01.2010,2025-11,0.7060563455165273
81.01.01.2010,2025-12,1.195422520939733
81.01.01.2010,2026-01,1.0692957795002092
81.01.01.2010,2026-02,0.0
81.01.01.2010,2026-03,0.0
81.01.01.2010,2026-04,1.212323937617557
81.01.01.2010,2026-05,
81.01.01.2010,2026-06,
81.01.01.2011,2024-07,0.3812008615251012
81.01.01.2011,2024-08,0.5228020148360717
81.01.01.2011,2024-09,0.45431687216402117
81.01.01.2011,2024-10,0.38766299215639194
81.01.01.2011,2024-11,0.4531927150982223
81.01.01.2011,2024-12,0.29810881978999154
81.01.01.2011,2025-01,0.2826366273334476
81.01.01.2011,2025-02,0.0
81.01.01.2011,2025-03,0.515982744127712
81.01.01.2011,2025-04,0.5603954884244176
81.01.01.2011,2025-05,0.4653811127783181
81.01.01.2011,2025-06,0.49562320771804813
81.01.01.2011,2025-07,0.38953739080367356
81.01.01.2011,2025-08,0.4234995205466093
81.01.01.2011,2025-09,0.42665867599250595
81.01.01.2011,2025-10,0.3651198489253953
81.01.01.2011,2025-11,0.3211169706359291
81.01.01.2011,2025-12,0.5355920378272336
81.01.01.2011,2026-01,0.39871044851632365
81.01.01.2011,2026-02,0.0
81.01.01.2011,2026-03,0.0
81.01.01.2011,2026-04,0.6775695052022903
81.01.01.2011,2026-05,
81.01.01.2011,2026-06,
81.01.01.2020,2024-07,0.0
81.01.01.2020,2024-08,0.39670111096712574
81.01.01.2020,2024-09,0.33794669649718995
81.01.01.2020,2024-10,0.25290454296571974
81.01.01.2020,2024-11,0.3493364146052736
81.01.01.2020,2024-12,0.18223823663906008
81.01.01.2020,2025-01,0.0
81.01.01.2020,2025-02,0.0
81.01.01.2020,2025-03,0.0
81.01.01.2020,2025-04,0.3208757190883306
81.01.01.2020,2025-05,0.1321784061660115
81.01.01.2020,2025-06,0.24110687976140247
81.01.01.2020,2025-07,0.23931737804189143
81.01.01.2020,2025-08,0.1572287220772288
81.01.01.2020,2025-09,0.24782703214279161
81.01.01.2020,2025-10,0.2792113127512617
81.01.01.2020,2025-11,0.2291813969798538
81.01.01.2020,2025-12,0.0
81.01.01.2020,2026-01,0.13116671021967954
81.01.01.2020,2026-02,0.0
81.01.01.2020,2026-03,0.0
81.01.01.2020,2026-04,0.4457438102973231
81.01.01.2020,2026-05,
81.01.01.2020,2026-06,
81.01.01.2021,2024-07,0.3814592728686498
81.01.01.2021,2024-08,0.3517264850552104
81.01.01.2021,2024-09,0.2424427721469722
81.01.01.2021,2024-10,0.2826062518916266
81.01.01.2021,2024-11,0.25699129045371916
81.01.01.2021,2024-12,0.17487700808185602
81.01.01.2021,2025-01,0.2545887867221374
81.01.01.2021,2025-02,0.1835667714040008
81.01.01.2021,2025-03,0.27067755181108377
81.01.01.2021,2025-04,0.32688974502658286
81.01.01.2021,2025-05,0.28170678822718515
81.01.01.2021,2025-06,0.0834700407828181
81.01.01.2021,2025-07,0.23378124111055817
81.01.01.2021,2025-08,0.20905742514955952
81.01.01.2021,2025-09,0.23757998839698377
81.01.01.2021,2025-10,0.2738451442289557
81.01.01.2021,2025-11,0.25485731137134354
81.01.01.2021,2025-12,0.004225281088430312
81.01.01.2021,2026-01,0.20269991599975407
81.01.01.2021,2026-02,0.06465816088708887
81.01.01.2021,2026-03,0.25352562871621104
81.01.01.2021,2026-04,0.38307414443571297
81.01.01.2021,2026-05,
81.01.01.2021,2026-06,
81.01.01.2022,2024-07,0.3162585099759079
81.01.01.2022,2024-08,0.3714496211221933
81.01.01.2022,2024-09,0.4416136190844047
81.01.01.2022,2024-10,0.3343238379327352
81.01.01.2022,2024-11,0.3918012510930772
81.01.01.2022,2024-12,0.25238220907069486
81.01.01.2022,2025-01,0.30418623994008137
81.01.01.2022,2025-02,0.0
81.01.01.2022,2025-03,0.36226962946246616
81.01.01.2022,2025-04,0.394469772936819
81.01.01.2022,2025-05,0.2560750517582546
81.01.01.2022,2025-06,0.25405003600770026
81.01.01.2022,2025-07,0.2654510079406052
81.01.01.2022,2025-08,0.18723141224388246
81.01.01.2022,2025-09,0.3226448915748649
81.01.01.2022,2025-10,0.29594718495369626
81.01.01.2022,2025-11,0.26242251314165865
81.01.01.2022,2025-12,0.2657456584404209
81.01.01.2022,2026-01,0.1782404456331632
81.01.01.2022,2026-02,0.0
81.01.01.2022,2026-03,0.0
81.01.01.2022,2026-04,0.5436872817311875
81.01.01.2022,2026-05,
81.01.01.2022,2026-06,
81.01.01.2023,2024-07,0.29336657826951457
81.01.01.2023,2024-08,0.39216732242654273
81.01.01.2023,2024-09,0.31260630550973073
81.01.01.2023,2024-10,0.25961472596411694
81.01.01.2023,2024-11,0.2816191440125576
81.01.01.2023,2024-12,0.18586613543333855
81.01.01.2023,2025-01,0.13472117854239946
81.01.01.2023,2025-02,0.0
81.01.01.2023,2025-03,0.33326785594271363
81.01.01.2023,2025-04,0.284150153426174
81.01.01.2023,2025-05,0.1903122721971488
81.01.01.2023,2025-06,0.18411537213707174
81.01.01.2023,2025-07,0.2147280588703315
81.01.01.2023,2025-08,0.19327679747461085
81.01.01.2023,2025-09,0.2710673013677334
81.01.01.2023,2025-10,0.23528084764168175
81.01.01.2023,2025-11,0.19331178987117198
81.01.01.2023,2025-12,0.12213857642097714
81.01.01.2023,2026-01,0.1042562328134916
81.01.01.2023,2026-02,0.002154831237131888
81.01.01.2023,2026-03,0.13407765195683963
81.01.01.2023,2026-04,0.43662483611625763
81.01.01.2023,2026-05,
81.01.01.2023,2026-06,
81.01.02.2001,2024-07,0.32038778280896857
81.01.02.2001,2024-08,0.6395024027657492
81.01.02.2001,2024-09,0.46414207127622814
81.01.02.2001,2024-10,0.4314516125043614
81.01.02.2001,2024-11,0.43815716782517034
81.01.02.2001,2024-12,0.36257378356601583
81.01.02.2001,2025-01,0.0
81.01.02.2001,2025-02,0.0
81.01.02.2001,2025-03,0.14955387730343178
81.01.02.2001,2025-04,0.5329924453313251
81.01.02.2001,2025-05,0.23699381812517176
81.01.02.2001,2025-06,0.17658887708440746
81.01.02.2001,2025-07,0.3018119433458816
81.01.02.2001,2025-08,0.2417776243493994
81.01.02.2001,2025-09,0.36574811500151355
81.01.02.2001,2025-10,0.3810878449113875
81.01.02.2001,2025-11,0.423112555780923
81.01.02.2001,2025-12,0.9784282850805996
81.01.02.2001,2026-01,0.32586136294750007
81.01.02.2001,2026-02,0.0
81.01.02.2001,2026-03,0.0
81.01.02.2001,2026-04,0.6956760424125988
81.01.02.2001,2026-05,
81.01.02.2001,2026-06,
81.01.02.2002,2024-07,0.37383458842908535
81.01.02.2002,2024-08,0.6603458730349865
